@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric
@attribute outputs-4 numeric
@attribute outputs-5 numeric
@attribute outputs-6 numeric
@attribute outputs-7 numeric
@attribute outputs-8 numeric
@attribute outputs-9 numeric
@attribute outputs-10 numeric
@attribute outputs-11 numeric
@attribute outputs-12 numeric
@attribute outputs-13 numeric
@attribute outputs-14 numeric
@attribute outputs-15 numeric

@data
1,'2019/01/20 14:35:55:270',1,321.633728,434.147461,51.628567,281.740356,428.612091,74.582016,231.558273,430.674316,79.62059,184.971191,433.964661,79.456375,110.744232,437.842163,75.882294,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
2,'2019/01/20 14:35:55:325',1,321.621338,434.353851,51.601242,282.026062,429.090912,74.53157,231.99913,431.386536,79.559494,185.669846,434.418579,79.418404,112.236023,438.771118,75.83136,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
3,'2019/01/20 14:35:55:375',1,321.446075,434.463318,51.594074,282.001587,429.095734,74.522507,231.97171,431.332886,79.55896,186.223526,435.542236,79.28479,112.403229,439.099304,75.800911,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
4,'2019/01/20 14:35:55:425',1,321.559967,433.732666,51.461948,281.645782,428.978943,74.461006,231.315308,430.916718,79.508598,185.926468,435.446777,79.169678,112.000977,438.45871,75.749451,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
5,'2019/01/20 14:35:55:476',1,321.455627,434.454803,51.47179,281.691437,429.372833,74.433044,231.086792,430.944427,79.508423,186.65033,436.705627,79.000793,112.600006,439.314331,75.636436,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
6,'2019/01/20 14:35:55:526',1,322.623535,435.208282,51.504665,282.201202,430.361755,74.505852,231.242218,431.464996,79.588547,187.345474,437.819763,78.964844,113.254547,439.758789,75.632675,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
7,'2019/01/20 14:35:55:577',1,326.896484,436.801025,51.701122,283.172516,432.227142,74.867004,231.632629,432.664001,79.843018,187.375427,438.374634,79.185364,114.761292,440.253571,75.639397,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
8,'2019/01/20 14:35:55:629',1,326.975586,436.529297,51.703396,283.023804,432.182983,74.9058,231.344986,432.857666,79.86573,186.759659,438.294617,79.247284,115.045013,440.670715,75.621513,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
9,'2019/01/20 14:35:55:677',1,326.024109,436.310638,51.598724,283.264099,432.841797,74.747589,231.543091,433.276306,79.790535,185.929794,437.631653,79.348099,115.772278,441.30426,75.607056,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
10,'2019/01/20 14:35:55:726',1,327.958832,436.989319,51.703129,284.494598,434.438599,74.856728,231.496872,434.153625,79.945839,185.449432,438.052032,79.519928,115.868042,441.585815,75.690628,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
11,'2019/01/20 14:35:55:777',1,328.859344,437.496185,51.739738,284.965881,434.738007,74.994499,230.913208,434.074646,80.104492,184.490417,437.479218,79.720642,115.459198,441.669128,75.747543,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
12,'2019/01/20 14:35:55:827',1,326.379395,436.393524,51.633121,284.355225,434.173401,74.945129,229.969452,433.396332,80.152664,183.774521,437.440826,79.777733,114.188416,441.476746,75.847328,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
13,'2019/01/20 14:35:55:876',1,325.426147,435.932678,51.596767,283.913696,433.667542,74.940247,229.253998,433.110107,80.165421,183.377838,437.097473,79.819344,113.779999,440.881104,75.949203,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
14,'2019/01/20 14:35:55:931',1,327.833527,448.790802,53.412186,286.560394,439.192505,76.801682,230.766495,435.875305,81.906494,185.148529,438.719055,81.414848,114.641602,436.632019,77.666,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
15,'2019/01/20 14:35:55:984',1,323.995331,438.776947,52.108555,287.567505,435.784302,75.8703,233.008804,436.391296,81.207237,187.471588,440.79245,80.938423,116.880554,442.364502,77.398712,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
16,'2019/01/20 14:35:56:033',1,322.688965,436.814331,51.783684,287.514923,434.646545,75.702362,233.781906,436.375061,81.062408,186.433319,439.665558,81.03717,117.317169,443.434204,77.403503,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
17,'2019/01/20 14:35:56:086',1,321.813965,436.063782,51.600338,286.961029,433.923218,75.587105,233.345657,435.721802,80.990524,185.580536,439.497711,80.979843,117.066467,444.128296,77.305466,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
